"","country","year","sex","total"
"189","Lithuania",2002,"female",13.7968229679475
"190","Lithuania",2002,"male",86.0923101611945
"191","Lithuania",2003,"female",14.6746918887933
"192","Lithuania",2003,"male",79.4235927152866
"193","Lithuania",2004,"female",14.8058439128607
"194","Lithuania",2004,"male",75.2381985137109
"195","Lithuania",2005,"female",13.7814311928327
"196","Lithuania",2005,"male",73.7648303715121
"197","Lithuania",2006,"female",11.6532307690478
"198","Lithuania",2006,"male",59.0789774419426
"199","Lithuania",2007,"female",10.6364439423349
"200","Lithuania",2007,"male",59.5598889432826
"201","Lithuania",2008,"female",11.7167888227905
"202","Lithuania",2008,"male",65.2662157752283
"203","Lithuania",2009,"female",11.4139279376137
"204","Lithuania",2009,"male",68.6418503304831
"205","Lithuania",2010,"female",11.8382630198971
"206","Lithuania",2010,"male",61.2613331618903
"207","Lithuania",2011,"female",12.8807346504579
"208","Lithuania",2011,"male",61.925136527114
"209","Lithuania",2012,"female",11.3092835568867
"210","Lithuania",2012,"male",57.9582531243963
"211","Lithuania",2013,"female",13.012327537371
"212","Lithuania",2013,"male",69.0276133799951
"213","Lithuania",2014,"female",10.6785169463421
"214","Lithuania",2014,"male",60.3668957050013
"215","Lithuania",2015,"female",11.3164211985362
"216","Lithuania",2015,"male",57.6745647236341
"217","Lithuania",2016,"female",8.75312126804907
"218","Lithuania",2016,"male",56.0564263827118
"219","Republic of Korea",1985,"female",5.4203485751218
"220","Republic of Korea",1985,"male",14.7012226434885
"221","Republic of Korea",1986,"female",4.76532131115942
"222","Republic of Korea",1986,"male",13.6133758839682
"223","Republic of Korea",1987,"female",4.75291188386226
"224","Republic of Korea",1987,"male",12.5273383059907
"225","Republic of Korea",1988,"female",4.30869100826481
"226","Republic of Korea",1988,"male",10.9097090229166
"227","Republic of Korea",1989,"female",4.60157241718193
"228","Republic of Korea",1989,"male",10.8175831563507
"229","Republic of Korea",1990,"female",4.86985046218019
"230","Republic of Korea",1990,"male",11.0762126108504
"231","Republic of Korea",1991,"female",4.66156067046275
"232","Republic of Korea",1991,"male",10.6718953465747
"233","Republic of Korea",1992,"female",5.29287051334886
"234","Republic of Korea",1992,"male",12.1942177560069
"235","Republic of Korea",1993,"female",6.27792100446736
"236","Republic of Korea",1993,"male",13.9405568390962
"237","Republic of Korea",1994,"female",6.58202667914814
"238","Republic of Korea",1994,"male",13.8697061773985
"239","Republic of Korea",1995,"female",7.23308399311859
"240","Republic of Korea",1995,"male",15.7790645710319
"241","Republic of Korea",1996,"female",8.53868518361701
"242","Republic of Korea",1996,"male",19.0203709019383
"243","Republic of Korea",1997,"female",8.66848850796784
"244","Republic of Korea",1997,"male",19.3797727696033
"245","Republic of Korea",1998,"female",10.9193653954294
