"","country","sex","total_suicides","total_pop","suicides_per_100k","latitude","longitude"
"123","Saint Kitts and Nevis","female",0,27017,0,17.357822,-62.732998
"124","Saint Kitts and Nevis","male",0,26741,0,17.357822,-62.782998
"125","Saint Vincent and Grenadines","female",1,50028,1.99888062684896,12.9843,-61.2372
"126","Saint Vincent and Grenadines","male",2,50920,3.92772977219167,12.9843,-61.2872
"127","San Marino","female",0,15934,0,43.94236,12.507777
"128","San Marino","male",0,15379,0,43.94236,12.457777
"129","Serbia","female",269,3480549,7.72866579381586,44.016521,21.055859
"130","Serbia","male",793,3285857,24.13373436519,44.016521,21.005859
"131","Seychelles","female",1,43478,2.3000138000828,-4.679574,55.541977
"132","Seychelles","male",6,42471,14.1272868545596,-4.679574,55.491977
"133","Singapore","female",111,1896339,5.85338380954038,1.352083,103.869836
"134","Singapore","male",218,1822776,11.9597800278257,1.352083,103.819836
"135","Slovenia","female",90,987883,9.11039060293577,46.151241,15.045463
"136","Slovenia","male",332,966749,34.3419026034679,46.151241,14.995463
"137","South Africa","female",105,25338753,0.414385033075621,-30.559482,22.987506
"138","South Africa","male",377,24288707,1.55216166920701,-30.559482,22.937506
"139","Spain","female",923,22531779,4.09643641542907,40.463667,-3.69922
"140","Spain","male",2681,21654749,12.3806560861084,40.463667,-3.74922
"141","Sweden","female",331,4570064,7.24278697191112,60.128161,18.693501
"142","Sweden","male",851,4544460,18.7260972700827,60.128161,18.643501
"143","Switzerland","female",280,3994995,7.00876972311605,46.818188,8.277512
"144","Switzerland","male",793,3897507,20.3463393394803,46.818188,8.227512
"145","Thailand","female",839,31268178,2.68323917050747,15.870032,101.042541
"146","Thailand","male",3366,29993098,11.2225819420188,15.870032,100.992541
"147","Turkey","female",397,35886425,1.10626789935191,38.963745,35.293322
"148","Turkey","male",1135,35994039,3.15329991168815,38.963745,35.243322
"149","Turkmenistan","female",41,2490877,1.6460066073114,38.969719,59.606278
"150","Turkmenistan","male",92,2395637,3.8403147054416,38.969719,59.556278
"151","Ukraine","female",1426,21793215,6.54332093727337,48.379433,31.21558
"152","Ukraine","male",6148,18552231,33.1388715459612,48.379433,31.16558
"153","United Kingdom","female",1178,31072226,3.79116706990996,55.378051,-3.385973
"154","United Kingdom","male",3732,30010716,12.4355580186757,55.378051,-3.435973
"155","United States of America","female",10199,151958511,6.71170040617205,37.09024,-95.662891
"156","United States of America","male",33990,148120000,22.9476100459087,37.09024,-95.712891
"157","Uruguay","female",131,1657298,7.90443239538092,-32.522779,-55.715835
"158","Uruguay","male",499,1533497,32.5400049690348,-32.522779,-55.765835
"159","Virgin Islands (USA)","female",0,51491,0,18.3358,-64.846
"160","Virgin Islands (USA)","male",3,46460,6.45716745587602,18.3358,-64.896
